Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level,,,,,,,,,,,,,,,,
college,6.34,1.04,6.5,82.29,2,2,3,0,,,Sum,1966350.913,,Sum,130101,,Sum,140364,,Sum,157231,,Sum,7646
college,6.4,7.19,2.6,86.71,1,6,1,0,,,Count,24195,,Count,24229,,Count,24208,,Count,24185,,Count,25499
working_student,4.54,8.85,1.31,69.16,5,6,6,1,,,,0,,,,,,,,,,,,
school,9.47,3.24,3.05,81.94,5,3,6,0,,,,,,,,,,,,,,,,
working_student,6.76,9.09,4.09,68.23,6,7,8,0,,,,,,,,,,,,,,,,
school,8.93,2.67,4.33,81.98,8,3,4,0,,,Sleep hours,,,Study hours,,,Social media hours,,,,,,,
Other,4.65,8.3,3.02,98.49,1,4,5,0,,,,,,,,,,,,,,,,
school,8.41,4.24,1.49,70.05,8,6,5,0,,,Mean,6.458930766,,Mean,4.696600661,,Mean,3.555629499,,,,,,
college,3.68,2.17,4.61,73.9,6,7,2,0,,,Standard Error,0.009676528,,Standard Error,0.014393443,,Standard Error,0.01222701,,,,,,
college,3.81,5.99,3.75,75.13,4,6,2,0,,,Median,6.542551102,,Median,4.538191537,,Median,3.500775338,,,,,,
school,7.32,1.07,3.56,69.92,5,5,10,0,,,Mode,4.498770168,,Mode,#N/A,,Mode,2.93617166,,,,,,
college,5.72,5.48,3.09,76.42,3,8,12,0,,,Standard Deviation,1.504256666,,Standard Deviation,2.240111844,,Standard Deviation,1.901565408,,,,,,
college,4.47,10.28,5.41,74.14,6,5,5,1,,,Sample Variance,2.262788119,,Sample Variance,5.018101075,,Sample Variance,3.615951001,,,,,,
school,7.71,3.45,0.47,76.02,3,8,4,0,,,Kurtosis,-0.280011798,,Kurtosis,1.054901855,,Kurtosis,-0.42296063,,,,,,
college,8.59,3.91,4.03,95.4,7,5,9,0,,,Skewness,-0.231969744,,Skewness,0.554825537,,Skewness,0.25353835,,,,,,
working_student,6.3,4.7,5.1,90.84,2,8,9,0,,,Range,7.988941499,,Range,23.87789351,,Range,9.962094542,,,,,,
school,8.36,3.92,6.41,80.6,6,8,2,0,,,Minimum,2.008585834,,Minimum,-1.43343395,,Minimum,4.00E-05,,,,,,
school,8.74,2.98,1.79,95.9,9,6,11,0,,,Maximum,9.997527333,,Maximum,22.44445956,,Maximum,9.962134492,,,,,,
college,5.81,5.1,4.09,75.68,3,6,6,1,,,Sum,156086.5209,,Sum,113761.0612,,Sum,86000.01069,,,,,,
school,5.87,2.9,2.37,67.34,7,7,12,1,,,Count,24166,,Count,24222,,Count,24187,,,,,,
college,4.27,6.06,3.56,95.02,1,10,10,0,,,,,,,,,,,,,,,,
school,6.73,3.32,3.56,70.54,3,3,2,0,,,,,,,,,,,,,,,,
college,5.3,4.7,0.13,64.7,6,7,6,1,,,,,,,,,,,,,,,,
school,8.98,2.74,3.56,78.01,5,3,10,0,,,,,,,,,,,,,,,,
working_student,7.74,4.7,4.58,72.93,2,4,1,0,,,,,,,,,,,,,,,,
Other,4.91,6.07,3.56,83.26,5,4,7,0,,,,,,,,,,,,,,,,
college,5.63,4.7,8.94,83.97,5,3,11,0,,,,,,,,,,,,,,,,
working_student,3.39,5.24,3.96,95.53,3,1,9,0,,,,,,,,,,,,,,,,
working_student,7.08,5.09,4.83,83.65,5,5,6,0,,,,,,,,,,,,,,,,
college,8.92,5.75,3.51,89.44,6,7,1,0,,,,,,,,,,,,,,,,
college,5.28,5.23,4.35,81.72,8,3,6,1,,,,,,,,,,,,,,,,
school,7.76,0.93,3.44,95.55,6,9,6,0,,,,,,,,,,,,,,,,
school,7.24,2.4,2.84,81.94,2,7,4,0,,,,,,,,,,,,,,,,
school,7.84,3.62,2.24,77.01,3,7,3,0,,,,,,,,,,,,,,,,
school,6.48,3.19,1.69,77.43,7,6,2,1,,,,,,,,,,,,,,,,
school,7.08,2.67,3.83,70.94,4,6,4,0,,,,,,,,,,,,,,,,
college,8.26,4.6,2.65,83.54,4,1,6,0,,,,,,,,,,,,,,,,
school,6.76,3.45,3.47,85.74,5,5,5,0,,,,,,,,,,,,,,,,
working_student,7.07,7.38,0.93,99.91,4,6,7,0,,,,,,,,,,,,,,,,
college,6.66,2.21,6.32,85.75,4,9,8,0,,,,,,,,,,,,,,,,
college,6.81,3.23,3.8,97.73,3,5,9,0,,,,,,,,,,,,,,,,
college,7.6,4.7,4.95,84,5,5,11,0,,,,,,,,,,,,,,,,
working_student,6.76,6.1,1.92,99.17,3,7,11,0,,,,,,,,,,,,,,,,
college,7.35,0.55,5.11,91.15,6,3,6,0,,,,,,,,,,,,,,,,
college,6.82,3.43,5.01,82.29,4,5,10,0,,,,,,,,,,,,,,,,
college,8.79,4.7,6.27,68.07,9,7,8,0,,,,,,,,,,,,,,,,
college,7.03,3.82,4.81,90.56,2,2,12,0,,,,,,,,,,,,,,,,
college,8.33,3.54,2.36,85.22,5,4,8,1,,,,,,,,,,,,,,,,
working_student,3.61,6.69,4.69,76.63,2,9,12,0,,,,,,,,,,,,,,,,
college,5.25,5.01,4.57,91.12,4,6,6,0,,,,,,,,,,,,,,,,
college,5.25,0.18,5,74.43,7,4,2,1,,,,,,,,,,,,,,,,
college,6.51,8.09,6.3,86.39,7,5,8,1,,,,,,,,,,,,,,,,
college,7.81,2.23,0.11,71.87,9,4,1,1,,,,,,,,,,,,,,,,
college,4.72,3.98,5.13,59.46,5,10,2,0,,,,,,,,,,,,,,,,
school,9.27,2.57,7.74,76.83,7,6,7,0,,,,,,,,,,,,,,,,
working_student,6.46,2.15,2.66,88.9,2,5,12,0,,,,,,,,,,,,,,,,
college,5.35,0.74,3.93,79.7,4,3,1,0,,,,,,,,,,,,,,,,
working_student,6.86,4.7,0.55,81.94,6,5,3,0,,,,,,,,,,,,,,,,
working_student,6.75,9.88,1.73,93.68,6,5,4,0,,,,,,,,,,,,,,,,
working_student,5.62,6.61,3.06,68.26,5,2,10,0,,,,,,,,,,,,,,,,
school,5.42,6.13,1.96,61.05,7,9,2,1,,,,,,,,,,,,,,,,
school,7.93,4.7,0.87,81.29,7,6,10,0,,,,,,,,,,,,,,,,
college,8.24,2.4,5.76,74.96,8,8,2,1,,,,,,,,,,,,,,,,
working_student,7.72,6.33,1.98,84.94,6,4,10,0,,,,,,,,,,,,,,,,
college,8.99,8.2,1.51,73.58,8,6,12,1,,,,,,,,,,,,,,,,
college,6.83,6.47,4.17,99.64,6,8,10,0,,,,,,,,,,,,,,,,
college,6.84,4.7,3.53,81.94,4,7,1,0,,,,,,,,,,,,,,,,
Other,9.15,1.24,1.65,88.1,6,7,8,0,,,,,,,,,,,,,,,,
college,9.87,2.46,5.31,73.51,4,6,1,0,,,,,,,,,,,,,,,,
Other,7.11,4.14,1.58,95.19,5,7,6,0,,,,,,,,,,,,,,,,
college,3.76,7.16,3.71,84.43,6,7,7,0,,,,,,,,,,,,,,,,
college,8.15,6.33,6.45,72.26,7,5,6,1,,,,,,,,,,,,,,,,
Other,3.99,6.56,0.95,86.97,1,9,6,0,,,,,,,,,,,,,,,,
college,6.65,3.65,5.82,88.68,9,5,2,1,,,,,,,,,,,,,,,,
college,5.04,2.44,2.95,76.67,5,5,5,0,,,,,,,,,,,,,,,,
college,8.05,1.93,5.64,64.16,3,4,7,0,,,,,,,,,,,,,,,,
working_student,6.64,6.36,3.56,99.05,5,5,11,0,,,,,,,,,,,,,,,,
school,8.18,4.3,3.49,82.85,7,8,5,1,,,,,,,,,,,,,,,,
college,6.39,3.09,2.3,85.57,2,7,3,0,,,,,,,,,,,,,,,,
working_student,4.28,8.82,2.94,81.94,5,5,1,1,,,,,,,,,,,,,,,,
college,5.4,6.21,6.03,81.94,5,3,7,0,,,,,,,,,,,,,,,,
working_student,5.78,5.18,4.89,66.89,8,6,3,1,,,,,,,,,,,,,,,,
college,7.57,2.69,1.39,79.11,5,7,7,0,,,,,,,,,,,,,,,,
working_student,6.09,6.24,2.35,71.28,1,8,9,0,,,,,,,,,,,,,,,,
working_student,4.1,4.21,0.44,92.74,5,4,11,0,,,,,,,,,,,,,,,,
college,6.63,3.53,5.5,76.83,6,9,12,0,,,,,,,,,,,,,,,,
college,8.77,8.78,2.22,82.98,6,7,7,1,,,,,,,,,,,,,,,,
college,7.03,6.71,5.47,71.02,3,7,9,0,,,,,,,,,,,,,,,,
Other,7.52,4.45,5.03,81.42,5,6,1,0,,,,,,,,,,,,,,,,
college,5.5,7.1,3.67,63.65,9,7,1,1,,,,,,,,,,,,,,,,
college,8.11,2.36,2.17,84.76,3,7,7,0,,,,,,,,,,,,,,,,
school,7.75,5.36,3.39,95.1,6,3,1,1,,,,,,,,,,,,,,,,
college,6.57,4.7,0.4,98.88,1,3,1,0,,,,,,,,,,,,,,,,
college,8.18,7.86,4.06,76.68,4,8,12,0,,,,,,,,,,,,,,,,
college,4.41,3.87,3.4,98.09,7,6,9,1,,,,,,,,,,,,,,,,
college,8.05,7.77,4.39,74.23,9,8,6,1,,,,,,,,,,,,,,,,
college,9.07,4.7,5.34,77.75,3,6,12,0,,,,,,,,,,,,,,,,
college,6.89,4.66,2.28,53.38,3,2,5,0,,,,,,,,,,,,,,,,
school,7,3.55,6.44,94.41,5,1,10,1,,,,,,,,,,,,,,,,
college,6.46,5.72,3.86,87.56,2,8,12,1,,,,,,,,,,,,,,,,
college,6.63,5.53,4.04,81.41,4,7,2,0,,,,,,,,,,,,,,,,
school,7.84,5.75,1.83,96.98,5,1,5,1,,,,,,,,,,,,,,,,
college,8.3,4,3.08,93.11,8,7,3,1,,,,,,,,,,,,,,,,
college,6.7,5.35,3.12,95.67,10,5,6,1,,,,,,,,,,,,,,,,
college,5.03,1.82,4.37,75.59,7,6,12,0,,,,,,,,,,,,,,,,
school,7.59,4.06,0.55,98.38,10,7,7,1,,,,,,,,,,,,,,,,
college,7.34,3.43,4.65,83.38,2,7,10,0,,,,,,,,,,,,,,,,
working_student,4.85,7.8,1.12,92.2,5,7,1,0,,,,,,,,,,,,,,,,
school,6.79,5.11,1.06,82.43,8,3,7,0,,,,,,,,,,,,,,,,
college,9.92,9.09,2.08,99.51,3,6,3,1,,,,,,,,,,,,,,,,
working_student,6.46,11.19,5.94,64.49,8,1,8,1,,,,,,,,,,,,,,,,
college,6.14,4.15,1.26,80.14,6,6,6,0,,,,,,,,,,,,,,,,
school,6.49,3.85,0.27,75.62,7,8,10,0,,,,,,,,,,,,,,,,
school,6.95,2.27,0.99,97.04,4,9,9,1,,,,,,,,,,,,,,,,
working_student,5.99,5.66,2.27,78.22,2,6,8,0,,,,,,,,,,,,,,,,
school,6.46,2.2,3.06,82.04,6,9,2,0,,,,,,,,,,,,,,,,
school,7.02,1.66,3.21,75.52,4,2,1,0,,,,,,,,,,,,,,,,
school,9.06,0.95,1.59,71.41,7,6,4,0,,,,,,,,,,,,,,,,
school,9.27,1.73,3.81,89.48,5,9,1,0,,,,,,,,,,,,,,,,
school,7.24,1.41,3.55,94.28,8,5,9,0,,,,,,,,,,,,,,,,
working_student,5.71,4.87,3.03,81.44,8,6,3,0,,,,,,,,,,,,,,,,
college,7.07,5.93,3.56,97.11,6,5,2,1,,,,,,,,,,,,,,,,
school,7.86,3.57,4.64,78.86,5,7,10,0,,,,,,,,,,,,,,,,
college,7.51,5.2,3.56,88.55,8,7,6,1,,,,,,,,,,,,,,,,
college,7.91,4.76,1.71,76.22,9,6,9,1,,,,,,,,,,,,,,,,
school,8.16,3.43,1.41,69.52,2,6,6,0,,,,,,,,,,,,,,,,
school,7.43,3.54,4.52,81.86,9,4,12,1,,,,,,,,,,,,,,,,
college,6.46,3.39,5.68,97.78,4,4,6,0,,,,,,,,,,,,,,,,
school,7.38,2.06,1.46,95.99,5,5,12,0,,,,,,,,,,,,,,,,
college,7.14,5.44,1.19,66.94,10,9,1,1,,,,,,,,,,,,,,,,
school,7.62,1.51,0.41,64.55,7,4,12,0,,,,,,,,,,,,,,,,
college,7.44,1.93,1.55,76.23,8,10,2,0,,,,,,,,,,,,,,,,
school,5.82,3.21,5.13,75.7,7,6,8,1,,,,,,,,,,,,,,,,
working_student,4.67,6.34,6.36,64.25,6,10,7,0,,,,,,,,,,,,,,,,
college,4.66,5.43,4.75,95.37,4,7,9,0,,,,,,,,,,,,,,,,
school,7.63,1.54,0.65,78.72,3,1,2,0,,,,,,,,,,,,,,,,
school,7.35,0.62,4.28,81.94,5,7,4,0,,,,,,,,,,,,,,,,
college,4.59,5.95,7.92,86.95,5,8,10,0,,,,,,,,,,,,,,,,
school,7.63,3.11,5.27,82.94,2,4,7,0,,,,,,,,,,,,,,,,
school,7.34,0.91,1.31,71.25,9,8,5,1,,,,,,,,,,,,,,,,
college,8.28,2.24,3.8,93.83,7,7,6,1,,,,,,,,,,,,,,,,
college,7.16,5.35,1.88,88.54,5,8,10,0,,,,,,,,,,,,,,,,
working_student,5.76,9.86,2.93,68.59,9,6,6,1,,,,,,,,,,,,,,,,
school,6.46,2.2,2.66,99.18,7,7,12,0,,,,,,,,,,,,,,,,
college,6.72,5.99,1.8,86.99,5,10,8,0,,,,,,,,,,,,,,,,
school,6.46,5.97,0.46,105,1,3,3,0,,,,,,,,,,,,,,,,
school,6.22,2.84,5.6,78.07,2,9,9,0,,,,,,,,,,,,,,,,
school,6.83,3.42,9.03,81.94,5,5,3,1,,,,,,,,,,,,,,,,
college,7.88,3.12,2.83,71.96,3,10,7,0,,,,,,,,,,,,,,,,
college,4.46,3.41,0.63,95.08,6,10,8,0,,,,,,,,,,,,,,,,
working_student,4.07,8.94,4.05,63.57,1,5,4,1,,,,,,,,,,,,,,,,
college,5.59,3.24,0.99,78.7,10,3,12,0,,,,,,,,,,,,,,,,
school,9.21,2.52,3.99,82.22,6,6,12,0,,,,,,,,,,,,,,,,
school,9.61,4.23,2.93,88.52,4,4,6,1,,,,,,,,,,,,,,,,
college,6.6,3.46,3.56,64.07,6,6,8,0,,,,,,,,,,,,,,,,
school,6.21,2.92,5.2,72.51,3,4,8,0,,,,,,,,,,,,,,,,
college,6.39,7.14,4.02,98.27,5,4,5,1,,,,,,,,,,,,,,,,
school,6.46,2.45,5.23,67.1,1,5,7,1,,,,,,,,,,,,,,,,
working_student,7.55,4.19,1.76,82.05,5,6,11,0,,,,,,,,,,,,,,,,
Other,8.06,3.79,0.88,81.94,2,6,6,0,,,,,,,,,,,,,,,,
working_student,5.3,2.39,4.6,89.74,5,1,9,0,,,,,,,,,,,,,,,,
college,9.69,3.86,3.52,63.99,5,7,1,1,,,,,,,,,,,,,,,,
school,7.8,2.26,6.18,90.78,5,7,11,0,,,,,,,,,,,,,,,,
school,5.88,2.02,4.94,68.39,5,5,2,0,,,,,,,,,,,,,,,,
working_student,7.18,7.04,5.8,69.76,6,3,6,1,,,,,,,,,,,,,,,,
college,8.23,2.5,1.73,99.07,5,6,3,0,,,,,,,,,,,,,,,,
school,7.23,3,1.26,87.37,7,7,6,0,,,,,,,,,,,,,,,,
school,6.68,2.99,2.26,98.06,2,6,6,0,,,,,,,,,,,,,,,,
working_student,6.46,4.91,0.63,74.84,3,6,5,0,,,,,,,,,,,,,,,,
college,5.68,3.32,3.34,81.94,7,8,8,0,,,,,,,,,,,,,,,,
school,6.46,2.98,2.77,97.19,5,8,1,0,,,,,,,,,,,,,,,,
college,9.56,5.36,5.86,69.82,9,6,6,0,,,,,,,,,,,,,,,,
college,2.55,3.32,3.75,81.94,8,7,3,1,,,,,,,,,,,,,,,,
working_student,8.33,6,4.07,67.77,5,7,12,0,,,,,,,,,,,,,,,,
working_student,5.73,8.49,4.57,87.58,8,6,3,1,,,,,,,,,,,,,,,,
college,7.04,5.14,3.56,97.45,3,7,5,0,,,,,,,,,,,,,,,,
college,6.23,6.6,3.9,96.57,9,6,4,1,,,,,,,,,,,,,,,,
school,8.44,2.48,2.55,57.77,9,7,6,1,,,,,,,,,,,,,,,,
college,6.61,7.56,7.92,91.27,8,7,3,0,,,,,,,,,,,,,,,,
college,7.16,8.89,2.92,72.01,3,5,3,1,,,,,,,,,,,,,,,,
working_student,5.3,5.53,1.93,80.6,3,3,8,0,,,,,,,,,,,,,,,,
college,7.38,5.74,2.64,80.02,5,4,11,0,,,,,,,,,,,,,,,,
working_student,6.28,7.27,3.74,71.17,5,10,10,1,,,,,,,,,,,,,,,,
college,6.46,3.01,4.25,95.63,8,3,7,1,,,,,,,,,,,,,,,,
college,6.29,3.56,4.5,90.49,6,8,3,0,,,,,,,,,,,,,,,,
school,7.43,4.52,7.39,81.94,7,4,7,0,,,,,,,,,,,,,,,,
college,7.08,2.51,3.65,95.44,8,4,12,1,,,,,,,,,,,,,,,,
working_student,4.8,5.44,3.56,68.78,6,10,9,0,,,,,,,,,,,,,,,,
working_student,4.94,6.84,5.45,99.99,5,6,10,0,,,,,,,,,,,,,,,,
school,9.17,6.36,3.51,81.94,6,6,8,0,,,,,,,,,,,,,,,,
school,9.2,2.03,3.88,61.4,5,6,6,0,,,,,,,,,,,,,,,,
college,2.22,2.01,3.05,90.03,5,6,1,1,,,,,,,,,,,,,,,,
school,8.55,5.28,6.08,76.32,6,4,3,0,,,,,,,,,,,,,,,,
school,6.28,1.67,5.54,78.7,5,6,7,0,,,,,,,,,,,,,,,,
college,6.57,11.64,2.88,72.58,6,7,8,1,,,,,,,,,,,,,,,,
college,6.54,3.04,1.91,99.95,4,4,6,0,,,,,,,,,,,,,,,,
school,7.8,4.13,2.62,99.53,6,4,1,0,,,,,,,,,,,,,,,,
college,6.3,5.98,6.97,99.97,6,9,10,0,,,,,,,,,,,,,,,,
school,6.76,2.7,3.62,73.13,6,3,7,0,,,,,,,,,,,,,,,,
college,8.21,4.82,6.11,77.58,8,8,3,1,,,,,,,,,,,,,,,,
college,5.37,4.7,3.27,62.79,5,6,1,0,,,,,,,,,,,,,,,,
college,5.52,3.56,7.62,95.42,8,7,11,0,,,,,,,,,,,,,,,,
college,6.47,1.3,1.25,90.93,8,9,5,1,,,,,,,,,,,,,,,,
college,4.5,3.79,5.19,81.97,6,4,9,1,,,,,,,,,,,,,,,,
college,6.73,4.7,7.23,79.57,2,4,4,0,,,,,,,,,,,,,,,,
college,6.72,2.19,4.31,71.93,3,2,6,0,,,,,,,,,,,,,,,,
college,7.67,4.41,0.88,68.85,7,10,12,1,,,,,,,,,,,,,,,,
working_student,6.26,2.3,7.75,90.22,1,2,11,0,,,,,,,,,,,,,,,,
working_student,5.34,4.7,3.28,71.67,8,1,11,1,,,,,,,,,,,,,,,,
college,8.85,4.7,2.81,69.83,4,7,3,0,,,,,,,,,,,,,,,,
college,6.66,2.9,2.21,96.59,8,5,7,0,,,,,,,,,,,,,,,,
Other,9.39,4.59,4.41,70.09,7,7,4,1,,,,,,,,,,,,,,,,
working_student,6.41,5.68,4.74,74.59,4,1,8,0,,,,,,,,,,,,,,,,
school,6.59,0.45,5.2,74.71,4,6,8,0,,,,,,,,,,,,,,,,
working_student,7.13,6.04,1.41,69.23,7,6,4,1,,,,,,,,,,,,,,,,
school,7.81,3.16,2.09,68.47,3,9,11,0,,,,,,,,,,,,,,,,
working_student,7.64,9,0.56,73.92,3,10,6,0,,,,,,,,,,,,,,,,
college,4.04,4.7,1.35,91.1,5,5,5,1,,,,,,,,,,,,,,,,
working_student,7.11,7.83,6.29,91.85,9,5,6,1,,,,,,,,,,,,,,,,
college,7.91,7.64,5.98,93.57,9,8,4,1,,,,,,,,,,,,,,,,
working_student,5.38,6.91,3.55,74.92,6,9,1,0,,,,,,,,,,,,,,,,
working_student,7.45,5.62,4,73.83,5,8,9,0,,,,,,,,,,,,,,,,
college,5.76,7.74,3.92,81.56,3,5,11,0,,,,,,,,,,,,,,,,
college,2.92,6.14,6.2,89.06,6,6,5,1,,,,,,,,,,,,,,,,
school,7.3,4.61,3.56,86.66,5,6,2,0,,,,,,,,,,,,,,,,
college,4.2,4.7,3.16,70.31,8,8,6,1,,,,,,,,,,,,,,,,
working_student,4.72,8.71,3.57,80.47,9,4,11,1,,,,,,,,,,,,,,,,
college,6.91,2.8,1.1,80.19,2,2,2,0,,,,,,,,,,,,,,,,
college,7.43,3.79,3.72,70.93,4,10,5,0,,,,,,,,,,,,,,,,
college,6.46,4.7,3.56,85.71,8,8,8,1,,,,,,,,,,,,,,,,
school,6.97,3.66,2.81,57.62,7,7,12,1,,,,,,,,,,,,,,,,
college,5.83,8.36,3.59,98.09,2,7,8,0,,,,,,,,,,,,,,,,
working_student,5.5,2.57,1.57,97.25,9,5,3,1,,,,,,,,,,,,,,,,
college,2.92,4.88,4.24,98.71,10,9,6,1,,,,,,,,,,,,,,,,
college,6.28,4.27,2.61,82.85,2,5,11,0,,,,,,,,,,,,,,,,
school,8.51,2.14,3.28,59.64,3,6,9,0,,,,,,,,,,,,,,,,
Other,8.35,5.36,2.71,85.24,5,10,5,0,,,,,,,,,,,,,,,,
school,8.93,3.82,8.46,78.21,9,5,6,1,,,,,,,,,,,,,,,,
college,5.9,7.06,4.49,72.75,4,3,1,0,,,,,,,,,,,,,,,,
college,6.54,2.85,4.71,75.55,2,2,6,0,,,,,,,,,,,,,,,,
college,4.18,4.57,2.41,85.74,6,5,12,0,,,,,,,,,,,,,,,,
school,8.03,4.7,0.2,67.27,4,4,11,0,,,,,,,,,,,,,,,,
working_student,5.87,6.58,3.15,76.26,8,8,9,1,,,,,,,,,,,,,,,,
working_student,4.16,9.48,1.71,77.29,3,3,2,0,,,,,,,,,,,,,,,,
school,7.25,4.7,4.47,82.3,7,6,3,0,,,,,,,,,,,,,,,,
college,6.38,6,6.6,94.87,5,9,6,1,,,,,,,,,,,,,,,,
school,8.32,4.7,3.42,83.01,2,8,3,0,,,,,,,,,,,,,,,,
college,6.95,6.3,6.38,63.06,8,5,8,0,,,,,,,,,,,,,,,,
working_student,6.51,5,0.36,85.33,10,10,4,1,,,,,,,,,,,,,,,,
college,6.89,6.12,2.36,59.67,5,5,1,0,,,,,,,,,,,,,,,,
college,5.32,4.14,5.26,93.62,6,4,10,0,,,,,,,,,,,,,,,,
working_student,6.46,10.03,0.79,58.39,7,6,4,1,,,,,,,,,,,,,,,,
school,7.65,1.02,4.22,79.51,4,3,6,0,,,,,,,,,,,,,,,,
college,7.01,3.67,3.78,68.9,5,1,12,0,,,,,,,,,,,,,,,,
school,7.34,3.87,4.04,96.82,9,6,10,0,,,,,,,,,,,,,,,,
college,6.46,0.68,2.59,81.31,7,6,5,0,,,,,,,,,,,,,,,,
working_student,7.85,7.02,4.86,79.37,5,6,5,0,,,,,,,,,,,,,,,,
school,7.68,3.37,0.61,83.28,10,7,4,1,,,,,,,,,,,,,,,,
college,5.57,4.7,5.91,97.46,6,9,9,1,,,,,,,,,,,,,,,,
college,6.61,5.64,4.2,82.35,4,5,4,0,,,,,,,,,,,,,,,,
college,7.7,2.53,4.22,92.75,10,4,11,1,,,,,,,,,,,,,,,,
working_student,4.68,5.11,3.41,63.93,6,6,11,1,,,,,,,,,,,,,,,,
school,6.52,3.68,3.78,76.58,7,4,4,0,,,,,,,,,,,,,,,,
college,3.54,4.35,7.61,74.81,5,8,5,1,,,,,,,,,,,,,,,,
college,5.69,5,6.42,79.63,6,6,12,0,,,,,,,,,,,,,,,,
school,6.48,0.84,2.58,97.69,5,7,5,0,,,,,,,,,,,,,,,,
college,4.5,4.85,4.77,94.22,9,4,9,0,,,,,,,,,,,,,,,,
college,6.04,4.7,5.48,80.46,5,8,6,1,,,,,,,,,,,,,,,,
college,5.51,8,3.84,97.77,6,6,2,0,,,,,,,,,,,,,,,,
working_student,8.35,4.7,3.18,54.78,7,3,1,0,,,,,,,,,,,,,,,,
working_student,7.91,2.96,3.56,86.92,3,4,1,1,,,,,,,,,,,,,,,,
school,6.24,2.34,1.33,75.67,3,7,2,0,,,,,,,,,,,,,,,,
school,9.01,2.53,6.25,81.46,9,10,1,1,,,,,,,,,,,,,,,,
school,6.87,2.89,3.56,66.73,2,10,8,0,,,,,,,,,,,,,,,,
college,6.46,6.29,2.88,98.56,6,3,10,0,,,,,,,,,,,,,,,,
college,5.25,7.24,0.59,72.85,3,9,4,0,,,,,,,,,,,,,,,,
school,7.38,2.06,4.16,86.26,6,10,5,0,,,,,,,,,,,,,,,,
working_student,5.71,6.94,7.84,80.64,2,6,7,0,,,,,,,,,,,,,,,,
college,6.95,2.92,3.56,73.86,4,4,8,1,,,,,,,,,,,,,,,,
college,7.12,6.27,3.55,75.14,3,8,1,0,,,,,,,,,,,,,,,,
college,4.69,2.58,0.26,99.34,2,6,11,0,,,,,,,,,,,,,,,,
working_student,5.8,3.69,7.52,87.8,5,8,4,0,,,,,,,,,,,,,,,,
college,6.09,7.1,4.19,82.41,4,7,11,1,,,,,,,,,,,,,,,,
college,6,4.7,3.23,81.94,4,2,6,0,,,,,,,,,,,,,,,,
college,3.7,2.58,6.03,94.71,7,6,2,0,,,,,,,,,,,,,,,,
working_student,5.9,6.18,4.69,81.94,4,3,12,1,,,,,,,,,,,,,,,,
college,6.46,4.53,3.85,87.07,5,8,9,0,,,,,,,,,,,,,,,,
college,7.08,8.12,1.76,76.83,5,8,1,0,,,,,,,,,,,,,,,,
college,6.87,2.46,6.7,67.41,8,6,1,1,,,,,,,,,,,,,,,,
school,6.16,5.64,4.06,96.92,5,2,8,0,,,,,,,,,,,,,,,,
working_student,5.69,5.99,3.11,83.23,2,10,11,0,,,,,,,,,,,,,,,,
school,8.67,4.7,3.19,80.52,2,1,8,0,,,,,,,,,,,,,,,,
